line_name,appropriation_code,appropriated_amount,original_description,line_type,explicit_project_address,source_url,source_version
129-2500. Village of Robbins,971-42018-4400-2824,5100000.00,"SECTION 2500. THE SUM OF $5,100,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 2500 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF ROBBINS FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2505. West Harvey Dixmoor School District 147,971-42018-4400-2924,250000.00,"SECTION 2505. THE SUM OF $250,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 2505 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO WEST HARVEY DIXMOOR SCHOOL DISTRICT 147 FOR COSTS ASSOCIATED WITH CAPITAL IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2510. Homewood Flossmoor School District 233,971-42018-4400-3024,500000.00,"SECTION 2510. THE SUM OF $500,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 2510 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO HOMEWOOD FLOSSMOOR SCHOOL DISTRICT 233 FOR COSTS ASSOCIATED WITH CAPITAL IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2520. Dolton Public Library,971-42018-4400-3224,300000.00,"SECTION 2520. THE SUM OF $300,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 2520 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO DOLTON PUBLIC LIBRARY FOR COSTS ASSOCIATED WITH CAPITAL IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2525. Harvey Park District,971-42018-4400-3324,1000000.00,"SECTION 2525. THE SUM OF $1,000,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 2525 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO HARVEY PARK DISTRICT FOR COSTS ASSOCIATED WITH CAPITAL IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2530. Dolton West School District 148,971-42018-4400-3424,1100000.00,"SECTION 2530. THE SUM OF $1,100,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 2530 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO DOLTON WEST SCHOOL DISTRICT 148 FOR COSTS ASSOCIATED WITH CAPITAL IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2535. Dolton School District 149,971-42018-4400-3524,1500000.00,"SECTION 2535. THE SUM OF $1,500,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 2535 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO DOLTON SCHOOL DISTRICT 149 FOR COSTS ASSOCIATED WITH CAPITAL IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2545. Village of Flossmoor,971-42018-4400-3724,1000000.00,"SECTION 2545. THE SUM OF $1,000,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 2545 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF FLOSSMOOR FOR COSTS ASSOCIATED WITH CAPITAL IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2550. City of Markham,971-42018-4400-3824,500000.00,"SECTION 2550. THE SUM OF $500,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 2550 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CITY OF MARKHAM FOR COSTS ASSOCIATED WITH CAPITAL IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2555. Village of South Holland,971-42018-4400-3924,1000000.00,"SECTION 2555. THE SUM OF $1,000,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 2555 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF SOUTH HOLLAND FOR COSTS ASSOCIATED WITH CAPITAL IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2560. Positive Moves NFP,971-42018-4400-4024,500000.00,"SECTION 2560. THE SUM OF $500,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 2560 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO POSITIVE MOVES NFP FOR COSTS ASSOCIATED WITH CAPITAL IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2565. Thornton Township School District 205,971-42018-4400-4124,1000000.00,"SECTION 2565. THE SUM OF $1,000,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 2565 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THORNTON TOWNSHIP SCHOOL DISTRICT 205 FOR COSTS ASSOCIATED WITH CAPITAL IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2570. South Suburban College,971-42018-4400-4224,500000.00,"SECTION 2570. THE SUM OF $500,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 2570 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO SOUTH SUBURBAN COLLEGE FOR COSTS ASSOCIATED WITH CAPITAL IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2575. CPSD 299 - several schools,971-42018-4400-4324,3550000.00,"SECTION 2575. THE AMOUNT OF $3,550,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 2575 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR GRANTS TO CHICAGO PUBLIC SCHOOL DISTRICT 299 FOR THE FOLLOWING NAMED ENTITIES FOR COSTS ASSOCIATED WITH CAPITAL IMPROVEMENTS. THE COMBINED COST OF GRANTS ASSOCIATED WITH EACH GRANT SHALL EQUAL THE APPROXIMATE AMOUNTS BELOW: ARTHUR DIXON ELEMENTARY ............................... 150,000 JAMES MCDADE CLASSICAL SCHOOL ........................ $100,000 EDGAR ALLEN POE CLASSICAL SCHOOL ..................... $100,000 JAMES A. NEIL ELEMENTARY SCHOOL ...................... $100,000 GEORGE WASHINGTON CARVER MILITARY ACADEMY ............ $100,000 CORLISS HIGH SCHOOL .................................. $250,000 RUGGLES ELEMENTARY SCHOOL ............................ $100,000 GILLESPIE ELEMENTARY SCHOOL .......................... $100,000 PULLMAN ELEMENTARY SCHOOL ............................ $100,000 PIRIE ELEMENTARY FINE ARTS ACADEMY CENTER ............ $100,000 BURNSIDE ELEMENTARY SCHOLASTIC SCHOOL ................ $100,000 SCHMID ELEMENTARY SCHOOL ............................. $100,000 TANNER ELEMENTARY SCHOOL ............................. $100,000 WENDELL SMITH ELEMENTARY SCHOOL ...................... $100,000 ARTHUR R. ASHE ELEMENTARY SCHOOL ..................... $100,000 ORVILLE T. BRIGHT ELEMENTARY SCHOOL .................. $100,000 CLAY ELEMENTARY SCHOOL ............................... $100,000 COLES ELEMENTARY SCHOOL .............................. $100,000 AMELIA EARHART ELEMENTARY OPTIONS FOR KNOWLEDGE ...... $100,000 VIRGIL GRISSOM ELEMENTARY SCHOOL ..................... $100,000 HORACE MANN ELEMENTARY SCHOOL ........................ $100,000 MARY E. MCDOWELL ELEMENTARY SCHOOL ................... $100,000 JOSEPH WARREN ELEMENTARY SCHOOL ...................... $100,000 ROBERT A. BLACK MAGNET ELEMENTARY .................... $100,000 CHARLES P. CALDWELL ACADEMY OF MATH AND SCIENCE....... $100,000 HORACE MANN ACADEMY .................................. $100,000 CHICAGO VOCATIONAL CAREER ACADEMY HIGH SCHOOL ........ $250,000 HAROLD WASHINGTON ELEMENTARY ......................... $100,000 HARLAN COMMUNITY ACADEMY HIGH SCHOOL ................. $250,000",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2580. Chicago Park District - several parks,971-42018-4400-4424,1175000.00,"SECTION 2580. THE AMOUNT OF $1,175,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 2580 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR GRANTS TO CHICAGO PARK DISTRICT FOR THE FOLLOWING NAMED ENTITIES FOR COSTS ASSOCIATED WITH CAPITAL IMPROVEMENTS. THE COMBINED COST OF GRANTS ASSOCIATED WITH EACH GRANT SHALL EQUAL THE APPROXIMATE AMOUNTS BELOW: BROWN (SIDNEY) MEMORIAL PARK ......................... $100,000 COLE (NAT KING) MEMORIAL PARK ........................ $100,000 TRUMBULL PARK........................................ $100,000 MERIL PARK............................................ $75,000 AVALON PARK.......................................... $100,000 BURNSIDE PARK........................................ $100,000 ABBOTT PARK........................................... $75,000 LANGLEY PARK.......................................... $75,000 MANN PARK............................................. $75,000 BYRNES PARK........................................... $75,000 DIXON (LORRAINE) PARK ................................ $100,000 TULEY (MURRAY) PARK .................................. $100,000 WEST CHATHAM PARK .................................... $100,000",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2585. MI - Lump Sum,971-42018-4400-4524,235000.00,"SECTION 2585. THE SUM OF $235,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 2585 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO LOCAL GOVERNMENTS, SCHOOL DISTRICTS AND COMMUNITY BASED PROVIDERS FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2590. Village of Robbins,971-42018-4400-4624,2000000.00,"SECTION 2590. THE SUM OF $2,000,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 2590 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF ROBBINS FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2595. Christian Community Health Center,971-42018-4400-4724,1200000.00,"SECTION 2595. THE SUM OF $1,200,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 2595 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE CHRISTIAN COMMUNITY HEALTH CENTER FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2600. Phalanx Family Services,971-42018-4400-4824,200000.00,"SECTION 2600. THE SUM OF $200,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 2600 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO PHALANX FAMILY SERVICES FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2605. Posen Community Center,971-42018-4400-4924,50000.00,"SECTION 2605. THE SUM OF $50,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 2605 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE POSEN COMMUNITY CENTER FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2615. Village of Calumet Park,971-42018-4400-5124,100000.00,"SECTION 2615. THE SUM OF $100,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 2615 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF CALUMET PARK FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2620. Blue Island Fire Museum,971-42018-4400-5224,25000.00,"SECTION 2620. THE SUM OF $25,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 2620 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE BLUE ISLAND FIRE MUSEUM FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2625. Village of Oak Park,971-42018-4400-5324,100000.00,"SECTION 2625. THE SUM OF $100,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 2625 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE VILLAGE OF OAK PARK FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2630. DuSable Black History Museum and Education Center,971-42018-4400-5424,300000.00,"SECTION 2630. THE SUM OF $300,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 2630 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE DUSABLE BLACK HISTORY MUSEUM AND EDUCATION CENTER FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
129-2635. Metro East Park and Recreation District,971-42018-4400-5524,350000.00,"SECTION 2635. THE SUM OF $350,000, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM A REAPPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 136, SECTION 2635 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE BUILD ILLINOIS BOND FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE METRO EAST PARK AND RECREATION DISTRICT FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
